bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Wienerberger Steenfabriek Kijfwaard West,"Industrie, Energie en Raffinaderijen",Pannerden,6.04211,51.87586,3794189
Parenco B.V.,"Industrie, Energie en Raffinaderijen",Renkum,5.72845,51.96997,3758631
Vliegveld Budel,Verkeer en vervoer,Kempen,5.60194,51.25639,3660541
Wienerberger Steenfabriek Erlecom,"Industrie, Energie en Raffinaderijen",Erlecom,5.96305,51.85063,3643638
Cargill BV (Multiseed),"Industrie, Energie en Raffinaderijen",Amsterdam,4.76970,52.41176,3568472
Smurfit Kappa Roermond Papier BV,"Industrie, Energie en Raffinaderijen",Roermond,6.00250,51.20616,3563825
Wienerberger Steenfabriek Poriso,"Industrie, Energie en Raffinaderijen",Brunssum,5.99171,50.94095,3548628
Vliegveld Hilversum,Verkeer en vervoer,Hilversum,5.14722,52.19250,3541105
Cabot Norit Activated Carbon (Klazienaveen),"Industrie, Energie en Raffinaderijen",Klazienaveen,6.99788,52.72846,3477721
Ertsoverslag Europoort,Handel/Diensten/Overheid en Bouw,Europoort Rotterdam,4.11389,51.96295,3394413
Vliegveld Seppe,Verkeer en vervoer,Breda,4.55250,51.55472,3239047
Stora Enso De Hoop B.V.,"Industrie, Energie en Raffinaderijen",Eerbeek,6.05477,52.09756,3234639
Steenfabriek De Vlijt BV,"Industrie, Energie en Raffinaderijen",Winterswijk,6.69075,51.96189,3152571
Vliegveld Midden Zeeland,Verkeer en vervoer,Midden-Zeeland,3.72917,51.51222,3079836
Tronox Pigments (Holland) BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.26948,51.89729,3074983
Steenfabriek De Rijswaard BV,"Industrie, Energie en Raffinaderijen",Aalst,5.14309,51.76888,3049447
Biomassacentrale Moerdijk,"Industrie, Energie en Raffinaderijen",Moerdijk,4.58161,51.68614,2983068
Aurubis Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Zutphen,6.20704,52.15816,2955629
Lyondell Chemie Nederland BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25286,51.88203,2912153
Avebe u.a. (Gasselternijveen),"Industrie, Energie en Raffinaderijen",Gasselternijveen,6.86825,52.98899,2894133
Avebe u.a. (Ter Apelkanaal),"Industrie, Energie en Raffinaderijen",Ter Apelkanaal,7.04573,52.92103,2872409
Cargill BV - Cargill Cocoa (Aurora),"Industrie, Energie en Raffinaderijen",Zaandam,4.81815,52.46406,2855465
Suiker Unie Vierverlaten,"Industrie, Energie en Raffinaderijen",Groningen,6.49511,53.21380,2833830
Nestle Nederland BV (Nunspeet),"Industrie, Energie en Raffinaderijen",Nunspeet,5.79083,52.38439,2813811
Maasstroom Energie CV,"Industrie, Energie en Raffinaderijen",Vondelingenplaat Rotterdam,4.35214,51.88984,2705969
Air Products Nederland BV (Botlek),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25933,51.87895,2518572
Wienerberger Dakpanfabriek Janssen-Dings,"Industrie, Energie en Raffinaderijen",Tegelen,6.14974,51.34111,2476054
EBS Terminal Laurenshaven,Handel/Diensten/Overheid en Bouw,Botlek Rotterdam,4.27166,51.88563,2436947
Vliegveld Texel,Verkeer en vervoer,Texel,4.83361,53.11528,2355308
EemsEnergy Terminal B.V.,"Industrie, Energie en Raffinaderijen",Eemshaven,6.85294,53.44467,2297368
OBA Bulkterminal Amsterdam,Handel/Diensten/Overheid en Bouw,Amsterdam,4.82138,52.41042,2194512
EBS Terminal Europoort II,Handel/Diensten/Overheid en Bouw,Europoort Rotterdam,4.12410,51.95182,2182497
Olam Cocoa BV,"Industrie, Energie en Raffinaderijen",Koog aan de Zaan,4.80837,52.47008,2164317
Indorama Ventures Europe BV,"Industrie, Energie en Raffinaderijen",Europoort Rotterdam,4.09800,51.96093,2138460
Steenfabriek De Nijverheid BV,"Industrie, Energie en Raffinaderijen",Azewijn,6.30619,51.89898,2128060
E.On Generations Den Haag,"Industrie, Energie en Raffinaderijen",'s-Gravenhage,4.29056,52.07592,2108557
Crown van Gelder N.V.,"Industrie, Energie en Raffinaderijen",Velsen Noord,4.63641,52.46700,2041316
Uniper Centrale RoCa,"Industrie, Energie en Raffinaderijen",Rotterdam,4.56110,51.95359,2036343
FrieslandCampina Veghel (DMV International),"Industrie, Energie en Raffinaderijen",Veghel,5.52509,51.61508,1975043
Eneco Warmteproductie Utrecht B.V.,"Industrie, Energie en Raffinaderijen",Utrecht,5.07916,52.10093,1937722
Umicore Nederland BV,"Industrie, Energie en Raffinaderijen",Eijsden,5.71403,50.76823,1904033
DAF Trucks N.V.,"Industrie, Energie en Raffinaderijen",Eindhoven,5.51777,51.43154,1707838
Johnson Matthey BV,"Industrie, Energie en Raffinaderijen",Maastricht,5.71759,50.87992,1696660
Rosier Nederland B.V.,"Industrie, Energie en Raffinaderijen",Sas Van Gent,3.79978,51.22119,1685871
Vliegveld Hoogeveen,Verkeer en vervoer,Hoogeveen,6.51583,52.73083,1652419
BECC B.V.,"Industrie, Energie en Raffinaderijen",Katwijk,5.85219,51.75385,1639733
Nouryon Functional Chemicals BV,"Industrie, Energie en Raffinaderijen",Herkenbosch,6.06331,51.15683,1632335
FrieslandCampina Domo (Borculo),"Industrie, Energie en Raffinaderijen",Borculo,6.52827,52.11855,1619973
VPR Energy B.V.,"Industrie, Energie en Raffinaderijen",Europoort Rotterdam,4.21727,51.91027,1599703
Eurogen CV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25733,51.88463,1593867
DRSH Zuiveringsslib N.V.,"Afval, riolering, waterzuivering",Dordrecht,4.74067,51.81652,1553345
E.on Locatie Leiden,"Industrie, Energie en Raffinaderijen",Leiden,4.49404,52.16398,1540278
Rodruza Steenfabriek de Zandberg,"Industrie, Energie en Raffinaderijen",Gendt,5.97019,51.85736,1502422
Tate & Lyle Netherlands BV,"Industrie, Energie en Raffinaderijen",Koog aan de Zaan,4.81185,52.46475,1487752
Vloertegelfabriek Koninklijke Mosa BV,"Industrie, Energie en Raffinaderijen",Maastricht,5.70639,50.86158,1478617
Enecal Energy VOF,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25414,51.88905,1460517
ESKA Graphic Board BV (Hoogezand),"Industrie, Energie en Raffinaderijen",Hoogezand,6.75082,53.16249,1432992
Botlek VCM Plant,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.27797,51.87111,1430213
Cabot Norit Nederland B.V.,"Industrie, Energie en Raffinaderijen",Zaandam,4.82431,52.42257,1367752
Internationale Graanoverslag Maatschappij Amsterdam BV,Handel/Diensten/Overheid en Bouw,Amsterdam,4.86337,52.40118,1328071
Lyondell Chemie Nederland B.V.,"Industrie, Energie en Raffinaderijen",Maasvlakte Rotterdam,4.01932,51.96785,1317697
Solidus Solutions (Bad Nieuweschans),"Industrie, Energie en Raffinaderijen",Bad Nieuweschans,7.20295,53.18220,1293008
Slibverwerking Noord-Brabant,"Afval, riolering, waterzuivering",Moerdijk,4.58016,51.68962,1261761
Air Liquide Nederland BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.25625,51.88525,1251783
Theo Pouw Secundaire Bouwstoffen B.V.,"Afval, riolering, waterzuivering",Eemshaven,6.83782,53.44140,1249234
Arkema BV (Rotterdam),Handel/Diensten/Overheid en Bouw,Vondelingenplaat Rotterdam,4.33576,51.88986,1244758
Wienerberger Steenfabriek Kijfwaard Oost,"Industrie, Energie en Raffinaderijen",Pannerden,6.05767,51.87410,1235362
Nobian Industrial Chemicals BV (Botlek),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.27863,51.87401,1223782
Agristo NV,"Industrie, Energie en Raffinaderijen",Tilburg,5.01666,51.59261,1214243
Ovet Vlissingen,Handel/Diensten/Overheid en Bouw,Nieuwdorp,3.70192,51.44589,1211548
Vaassen Flexible Packaging,"Industrie, Energie en Raffinaderijen",Vaassen,5.96858,52.28523,1198465
Ardagh Metal Packaging Netherlands BV,"Industrie, Energie en Raffinaderijen",Deventer,6.18325,52.24355,1129935
Ardagh Metal Packaging Netherlands BV,"Industrie, Energie en Raffinaderijen",Hoogeveen,6.48405,52.72737,1113976
Farm Frites BV,"Industrie, Energie en Raffinaderijen",Oudenhoorn,4.16461,51.82316,1062181
PQ Silicas BV (Winschoten),"Industrie, Energie en Raffinaderijen",Winschoten,7.04749,53.13897,1042676
CAN-PACK Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Helmond,5.70350,51.44270,994996
BN International BV,"Industrie, Energie en Raffinaderijen",Huizen,5.24059,52.30293,970515
DOC Kaas (Zuivelpark),"Industrie, Energie en Raffinaderijen",Hoogeveen,6.52183,52.71368,966135
MGG Netherlands BV,"Industrie, Energie en Raffinaderijen",Tegelen,6.13759,51.33751,959911
Steenfabriek Gebroeders Klinkers BV,"Industrie, Energie en Raffinaderijen",Maastricht,5.67534,50.87835,926842
FrieslandCampina (Leeuwarden),"Industrie, Energie en Raffinaderijen",Leeuwarden,5.81891,53.19822,924615
B.V. Steenfabriek Huissenswaard,"Industrie, Energie en Raffinaderijen",Angeren,5.98454,51.91232,921860
FUJIFILM Manufacturing Europe BV,"Industrie, Energie en Raffinaderijen",Tilburg,5.01196,51.59730,861300
Emerald Kalama Chemical Rotterdam BV,"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.26066,51.88618,849266
Sonac Vuren BV,"Industrie, Energie en Raffinaderijen",Vuren,5.09081,51.83257,848666
Sime Darby Unimills B.V.,"Industrie, Energie en Raffinaderijen",Zwijndrecht,4.64045,51.80765,845850
DSM Delft Permit BV,"Industrie, Energie en Raffinaderijen",Delft,4.34557,52.01844,836279
Cargill BV,"Industrie, Energie en Raffinaderijen",Bergen op Zoom,4.26049,51.50649,836070
PPG Industries Chemicals BV,"Industrie, Energie en Raffinaderijen",Delfzijl,6.98614,53.30291,833958
Wienerberger Steenfabriek Heteren,"Industrie, Energie en Raffinaderijen",Heteren,5.74445,51.96858,832282
Galvano Hengelo BV,"Industrie, Energie en Raffinaderijen",Hengelo,6.76716,52.24789,829092
Air Products Nederland BV (Pernis),"Industrie, Energie en Raffinaderijen",Botlek Rotterdam,4.28742,51.87000,811761
Eastman Chemical Middelburg BV,"Industrie, Energie en Raffinaderijen",Middelburg,3.64383,51.49457,803014
Aspen Oss B.V. (locatie De Geer),"Industrie, Energie en Raffinaderijen",Oss,5.55483,51.78227,776732
Promelca B.V. (Gorinchem),"Industrie, Energie en Raffinaderijen",Gorinchem,4.95418,51.82810,759647
Ennatuurlijk BV (Helmond),"Industrie, Energie en Raffinaderijen",Helmond,5.68867,51.46358,758103
ExxonMobil Chemical Holland BV (ROP van RPI),"Industrie, Energie en Raffinaderijen",Europoort Rotterdam,4.18480,51.92882,752096
Odfjell Terminals (Rotterdam) BV,Handel/Diensten/Overheid en Bouw,Botlek Rotterdam,4.31979,51.88038,745267
Aviko BV,"Industrie, Energie en Raffinaderijen",Steenderen,6.19082,52.06690,721790
Van Merksteijn International BV,"Industrie, Energie en Raffinaderijen",Almelo,6.61701,52.36611,705993
VDL Nedcar BV,"Industrie, Energie en Raffinaderijen",Born,5.83206,51.04244,702289
Afrikahaven Coal Terminal BV,Handel/Diensten/Overheid en Bouw,Amsterdam,4.74036,52.42304,701573
Vliegveld Ameland,Verkeer en vervoer,Ameland,5.68389,53.45278,688180
Rodruza Steenfabriek Rossum BV,"Industrie, Energie en Raffinaderijen",Rossum,5.34009,51.79393,674070
Chemours Netherlands BV,"Industrie, Energie en Raffinaderijen",Dordrecht,4.72730,51.81815,669973
ARKEMA Vlissingen BV,Handel/Diensten/Overheid en Bouw,Vlissingen,3.68967,51.45227,669740
Heineken Nederland BV (Zoeterwoude),"Industrie, Energie en Raffinaderijen",Zoeterwoude,4.54072,52.13775,643793
FNSteel BV,"Industrie, Energie en Raffinaderijen",Alblasserdam,4.66006,51.85877,640548
Nannoka Vulcanus Industries BV,"Industrie, Energie en Raffinaderijen",Doetinchem,6.25626,51.98433,638583
Simadan,"Industrie, Energie en Raffinaderijen",Amsterdam,4.81052,52.39743,633259
Kleiwarenfabriek Joosten Kessel BV,"Industrie, Energie en Raffinaderijen",Kessel,6.01227,51.27200,630365
McCain Foods Holland BV (Lelystad),"Industrie, Energie en Raffinaderijen",Lelystad,5.52619,52.54087,620081
Monier BV (Tegelen),"Industrie, Energie en Raffinaderijen",Tegelen,6.14046,51.33733,614062
A. Jansen B.V.,"Afval, riolering, waterzuivering",Son,5.44562,51.50225,613282
Nouryon Functional Chemicals BV (CMC),"Industrie, Energie en Raffinaderijen",Arnhem,5.94013,51.96512,599251
ESKA Graphic Board BV (Sappemeer),"Industrie, Energie en Raffinaderijen",Sappemeer,6.80613,53.16194,591729
E-max Remelt,"Industrie, Energie en Raffinaderijen",Kerkrade,6.03852,50.87809,570448
Vliegveld Oostwold,Verkeer en vervoer,Oostwold,7.04111,53.20806,563668
Dynea,"Industrie, Energie en Raffinaderijen",Farmsum,6.96468,53.31670,563205
Aspen Oss B.V. (locatie Moleneind),"Industrie, Energie en Raffinaderijen",Oss,5.53213,51.76375,551678
Wienerberger Steenfabriek Schipperswaard,"Industrie, Energie en Raffinaderijen",Echteld,5.47800,51.89197,542303
Wienerberger Dakpannenfabriek Narvik Tegelen,"Industrie, Energie en Raffinaderijen",Tegelen,6.15518,51.33731,541073
Sapa Profiles NL BV (Drunen),"Industrie, Energie en Raffinaderijen",Drunen,5.15146,51.69204,537107
KH Dairy Sourcing BV,"Industrie, Energie en Raffinaderijen",Coevorden,6.83713,52.65917,531968
RWZI Hengelo,"Afval, riolering, waterzuivering",Hengelo,6.77135,52.27896,530905
GMB Slibverwerking Zutphen BV,"Afval, riolering, waterzuivering",Zutphen,6.19530,52.16057,528914
Monier BV (Woerden),"Industrie, Energie en Raffinaderijen",Woerden,4.87072,52.08528,527896
Gieterij Doesburg BV,"Industrie, Energie en Raffinaderijen",Doesburg,6.13166,52.00963,518602
Klesch Aluminium Delfzijl,"Industrie, Energie en Raffinaderijen",Farmsum,6.97859,53.31256,516255
FrieslandCampina Domo (Beilen),"Industrie, Energie en Raffinaderijen",Beilen,6.52000,52.85556,507355
BV Steenfabriek Hedikhuizen,"Industrie, Energie en Raffinaderijen",Heusden,5.20718,51.73724,507145
