bedrijf,longitude,latitude
Aspen Oss B.V. (locatie De Geer),5.55483,51.78227
Promelca B.V. (Gorinchem),4.95418,51.82810
Ennatuurlijk BV (Helmond),5.68867,51.46358
ExxonMobil Chemical Holland BV (ROP van RPI),4.18480,51.92882
Odfjell Terminals (Rotterdam) BV,4.31979,51.88038
Aviko BV,6.19082,52.06690
Van Merksteijn International BV,6.61701,52.36611
VDL Nedcar BV,5.83206,51.04244
Afrikahaven Coal Terminal BV,4.74036,52.42304
Vliegveld Ameland,5.68389,53.45278
Rodruza Steenfabriek Rossum BV,5.34009,51.79393
Chemours Netherlands BV,4.72730,51.81815
ARKEMA Vlissingen BV,3.68967,51.45227
Heineken Nederland BV (Zoeterwoude),4.54072,52.13775
FNSteel BV,4.66006,51.85877
Nannoka Vulcanus Industries BV,6.25626,51.98433
Simadan,4.81052,52.39743
Kleiwarenfabriek Joosten Kessel BV,6.01227,51.27200
McCain Foods Holland BV (Lelystad),5.52619,52.54087
Monier BV (Tegelen),6.14046,51.33733
A. Jansen B.V.,5.44562,51.50225
Nouryon Functional Chemicals BV (CMC),5.94013,51.96512
ESKA Graphic Board BV (Sappemeer),6.80613,53.16194
E-max Remelt,6.03852,50.87809
Vliegveld Oostwold,7.04111,53.20806
Dynea,6.96468,53.31670
Aspen Oss B.V. (locatie Moleneind),5.53213,51.76375
Wienerberger Steenfabriek Schipperswaard,5.47800,51.89197
Wienerberger Dakpannenfabriek Narvik Tegelen,6.15518,51.33731
Sapa Profiles NL BV (Drunen),5.15146,51.69204
KH Dairy Sourcing BV,6.83713,52.65917
RWZI Hengelo,6.77135,52.27896
GMB Slibverwerking Zutphen BV,6.19530,52.16057
Monier BV (Woerden),4.87072,52.08528
Gieterij Doesburg BV,6.13166,52.00963
Klesch Aluminium Delfzijl,6.97859,53.31256
FrieslandCampina Domo (Beilen),6.52000,52.85556
BV Steenfabriek Hedikhuizen,5.20718,51.73724
Zalco B.V.,3.70297,51.45870
Zeolyst CV,6.98716,53.30743
Wienerberger Steenfabriek Haaften,5.18996,51.81840
Wienerberger Steenfabriek Thorn,5.86133,51.15684
Everris International BV,5.99842,50.85346
Steenfabriek Engels Oeffelt BV,5.91288,51.68840
Stichting AL-terrein,5.18849,52.11815
ExxonMobil Chemical Holland BV (RPP van RPI),4.28821,51.88189
Veolia Industriediensten BV,5.94187,51.96647
GMB Slibverwerking Tiel BV,5.43424,51.91717
Synbra Technology BV,4.63660,51.62603
Green Box Computing B.V.,6.85984,53.42495
Sonneborn Refined Products BV (Amsterdam),4.82683,52.39374
Sibelco Winterswijk,6.77691,51.96711
Gasunie Vilsteren/Ommen,6.36076,52.49436
Amsterdam Coal Processing (ACP Rietlanden),4.82265,52.40999
RWZI Amersfoort,5.34862,52.17421
Gasunie (Wieringermeer),5.05019,52.75977
Wienerberger Steenfabriek Bemmel,5.91548,51.87677
Seasun BV,3.95018,51.46002
Ovet Terminal Massagoedhaven-Terneuzen,3.83451,51.31339
RWZI Tilburg-Noord,5.06821,51.60196
RWZI Garmerwolde,6.67183,53.24830
RWZI Beverwijk,4.66859,52.47422
Kleiwarenfabriek Façade Beek BV,5.78530,50.94328
Niacet B.V.,5.41582,51.88337
Wienerberger Dakpannenfabriek Narvik Deest,5.67498,51.89105
Zavin C.V.,4.73749,51.81587
Schur Flexible Benelux BV,6.39046,53.16245
Croda,4.70853,52.00491
Leo Hoogweg BV,5.87513,52.74287
RWZI Weurt-Nijmegen,5.79644,51.84849
RWZI Rotterdam-Dokhaven,4.46468,51.89604
Graniet Import Benelux BV,4.78320,52.40754
RWZI Nieuwveer,4.70793,51.63017
Ecofuels BV,6.13978,51.56049
Trespa International BV,5.65156,51.24084
RWZI Apeldoorn,5.97143,52.23869
Neste Oil Netherlands B.V.,4.04280,51.96701
Wienerberger Steenfabriek de Wolfswaard,5.65674,51.95101
Biopetrol Rotterdam BV,4.30061,51.88424
Teijin Aramid BV,6.94496,53.31740
Rademakers Gieterij BV,6.96720,52.71943
FrieslandCampina Bedum,6.59806,53.30908
Loders Croklaan B.V.,4.81012,52.48478
Exploitatiemaatschappij Phoenix BV,5.77996,52.94648
Synthos Breda B.V.,4.76153,51.61007
Smurfit Kappa Solid Board Coevorden,6.73808,52.65754
Staalstraal Brabant BV,4.85701,51.66645
Abbott Laboratories B.V.,6.07226,52.51708
Vliegveld Drachten,6.12833,53.11806
Goglio North Europe BV,4.81169,52.44412
FrieslandCampina Workum,5.45568,52.97370
Stinoil Holding B.V.,6.89185,53.09897
Diffutherm BV,5.27367,51.35811
Solvay Chemie BV,5.95747,51.16667
Keppel Verolme BV,4.29403,51.89168
"Eneco Solar, Bio & Hydro BV, WKC Ypenburg",4.37342,52.05680
BASF Nederland BV Catalysts,5.05391,52.07471
Vink Afvalverwerking BV,5.62030,52.16536
RMD BV,6.97565,53.30568
Ashland Industries Nederland B.V.,4.61945,51.80617
Wavin Diensten BV,6.62616,52.56708
PQ Silicas BV (Eijsden),5.71310,50.76989
FrieslandCampina Butter (Lochem),6.42640,52.16444
PURAC Biochem BV,4.98785,51.84350
Steenindustrie Strating BV,6.98819,53.09125
Scania Production Zwolle BV,6.06483,52.51310
RWZI Bath,4.24662,51.39942
Empyro B.V.,6.79014,52.24615
Wienerberger Steenfabriek Nuance,6.02605,51.62222
