Stof,Bedrijf,Jaar,Hoeveelheid,Eenheid
NMVOS,Givaudan Nederland BV (Naarden),2022,308,kg
Methaan,Givaudan Nederland BV (Naarden),2022,462,kg
VOS,Givaudan Nederland BV (Naarden),2022,770,kg
Methaan,Givaudan Nederland BV (Naarden),2022,2717,kg
NMVOS,Givaudan Nederland BV (Naarden),2022,4581,kg
VOS,Givaudan Nederland BV (Naarden),2022,7298,kg
Methaan,Givaudan Nederland BV (Naarden),2022,12934,kg CO₂-eq
Methaan,Givaudan Nederland BV (Naarden),2022,76076,kg CO₂-eq
Koolstofdioxide,Givaudan Nederland BV (Naarden),2022,4630000,kg CO₂-eq
Koolstofdioxide,Givaudan Nederland BV (Naarden),2022,4630000,kg
Grof stof,Global Food Group BV eierverwerking,2022,166,kg
TSP (Totaal stof),Global Food Group BV eierverwerking,2022,166,kg
Stikstofoxiden (als NO2),Global Food Group BV eierverwerking,2022,324,kg
Koolstofdioxide,Global Food Group BV eierverwerking,2022,861582,kg CO₂-eq
Koolstofdioxide,Global Food Group BV eierverwerking,2022,861582,kg
Fenol en Fenolaten,GMB Slibverwerking Tiel BV,2022,6,kg
Benzeen,GMB Slibverwerking Tiel BV,2022,48,kg
Tolueen,GMB Slibverwerking Tiel BV,2022,158,kg
Stikstofoxiden (als NO2),GMB Slibverwerking Tiel BV,2022,814,kg
Koolstofmonoxide,GMB Slibverwerking Tiel BV,2022,859,kg
Ammoniak,GMB Slibverwerking Tiel BV,2022,1620,kg
Distikstofoxide,GMB Slibverwerking Tiel BV,2022,3179,kg
Methaan,GMB Slibverwerking Tiel BV,2022,21037,kg
NMVOS,GMB Slibverwerking Tiel BV,2022,72425,kg
VOS,GMB Slibverwerking Tiel BV,2022,93462,kg
Koolstofdioxide,GMB Slibverwerking Tiel BV,2022,420541,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Tiel BV,2022,420541,kg
Methaan,GMB Slibverwerking Tiel BV,2022,589036,kg CO₂-eq
Distikstofoxide,GMB Slibverwerking Tiel BV,2022,842435,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Tiel BV,2022,14857540,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Tiel BV,2022,14857540,kg
Benzeen,GMB Slibverwerking Zutphen BV,2022,17,kg
Stikstofoxiden (als NO2),GMB Slibverwerking Zutphen BV,2022,886,kg
Ammoniak,GMB Slibverwerking Zutphen BV,2022,1167,kg
Tolueen,GMB Slibverwerking Zutphen BV,2022,1304,kg
Fenol en Fenolaten,GMB Slibverwerking Zutphen BV,2022,1324,kg
Koolstofmonoxide,GMB Slibverwerking Zutphen BV,2022,1753,kg
Distikstofoxide,GMB Slibverwerking Zutphen BV,2022,7613,kg
Methaan,GMB Slibverwerking Zutphen BV,2022,65437,kg
NMVOS,GMB Slibverwerking Zutphen BV,2022,102745,kg
VOS,GMB Slibverwerking Zutphen BV,2022,168182,kg
Koolstofdioxide,GMB Slibverwerking Zutphen BV,2022,858056,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Zutphen BV,2022,858056,kg
Methaan,GMB Slibverwerking Zutphen BV,2022,1832236,kg CO₂-eq
Distikstofoxide,GMB Slibverwerking Zutphen BV,2022,2017445,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Zutphen BV,2022,33605250,kg CO₂-eq
Koolstofdioxide,GMB Slibverwerking Zutphen BV,2022,33605250,kg
NMVOS,Goglio North Europe BV,2022,55100,kg
VOS,Goglio North Europe BV,2022,55100,kg
Koolstofdioxide,Goglio North Europe BV,2022,2605076,kg CO₂-eq
Koolstofdioxide,Goglio North Europe BV,2022,2605076,kg
Chloriden,Gouda Refractories BV,2022,477,kg
Fluoriden anorganisch (als HF),Gouda Refractories BV,2022,815,kg
Grof stof,Gouda Refractories BV,2022,1910,kg
TSP (Totaal stof),Gouda Refractories BV,2022,1910,kg
Zwaveloxiden (als SO2),Gouda Refractories BV,2022,20498,kg
Stikstofoxiden (als NO2),Gouda Refractories BV,2022,104244,kg
Koolstofdioxide,Gouda Refractories BV,2022,591226,kg CO₂-eq
Koolstofdioxide,Gouda Refractories BV,2022,591226,kg
Koolstofdioxide,Gouda Refractories BV,2022,8624774,kg CO₂-eq
Koolstofdioxide,Gouda Refractories BV,2022,8624774,kg
"Fijnstof (PM2,5)",Graniet Import Benelux BV,2022,1800,kg
Fijnstof (PM10),Graniet Import Benelux BV,2022,12000,kg
Grof stof,Graniet Import Benelux BV,2022,30000,kg
TSP (Totaal stof),Graniet Import Benelux BV,2022,42000,kg
Grof stof,Green Box Computing B.V.,2022,23,kg
TSP (Totaal stof),Green Box Computing B.V.,2022,23,kg
Koolstofmonoxide,Green Box Computing B.V.,2022,1619,kg
Stikstofoxiden (als NO2),Green Box Computing B.V.,2022,12636,kg
Koolstofdioxide,Green Box Computing B.V.,2022,1447789,kg CO₂-eq
Koolstofdioxide,Green Box Computing B.V.,2022,1447789,kg
Stikstofoxiden (als NO2),Greenergy Biofuels Amsterdam B.V.,2022,1912,kg
NMVOS,Greenergy Biofuels Amsterdam B.V.,2022,1985,kg
VOS,Greenergy Biofuels Amsterdam B.V.,2022,1985,kg
Koolstofdioxide,Greenergy Biofuels Amsterdam B.V.,2022,5741914,kg CO₂-eq
Koolstofdioxide,Greenergy Biofuels Amsterdam B.V.,2022,5741914,kg
NMVOS,Greif Nederland BV,2022,1675,kg
VOS,Greif Nederland BV,2022,1675,kg
Stikstofoxiden (als NO2),Greif Nederland BV,2022,5962,kg
Koolstofdioxide,Greif Nederland BV,2022,2757340,kg CO₂-eq
Koolstofdioxide,Greif Nederland BV,2022,2757340,kg
Stikstofoxiden (als NO2),Groen Gas Gelderland B.V.,2022,1562,kg
Methaan,Groen Gas Gelderland B.V.,2022,22680,kg
VOS,Groen Gas Gelderland B.V.,2022,22680,kg
Methaan,Groen Gas Gelderland B.V.,2022,635040,kg CO₂-eq
Koolstofdioxide,Groen Gas Gelderland B.V.,2022,899000,kg CO₂-eq
Koolstofdioxide,Groen Gas Gelderland B.V.,2022,899000,kg
Koolstofdioxide,Groen Gas Gelderland B.V.,2022,6700000,kg CO₂-eq
Koolstofdioxide,Groen Gas Gelderland B.V.,2022,6700000,kg
Stikstofoxiden (als NO2),Grolsche Bierbrouwerij Nederland BV,2022,2703,kg
Koolstofdioxide,Grolsche Bierbrouwerij Nederland BV,2022,8974440,kg CO₂-eq
Koolstofdioxide,Grolsche Bierbrouwerij Nederland BV,2022,8974440,kg
Stikstofoxiden (als NO2),Groot Zevert Vergisting,2022,6195,kg
Koolstofdioxide,Groot Zevert Vergisting,2022,4435450,kg CO₂-eq
Koolstofdioxide,Groot Zevert Vergisting,2022,4435450,kg
Chroomverb. (als Cr),Gunvor Petroleum Europoort B.V.,2022,1,kg
Kwikverb. (als Hg),Gunvor Petroleum Europoort B.V.,2022,1,kg
Nikkelverb. (als Ni),Gunvor Petroleum Europoort B.V.,2022,1,kg
Zinkverb. (als Zn),Gunvor Petroleum Europoort B.V.,2022,2,kg
Benzeen,Gunvor Petroleum Europoort B.V.,2022,29,kg
Grof stof,Gunvor Petroleum Europoort B.V.,2022,34,kg
Tolueen,Gunvor Petroleum Europoort B.V.,2022,55,kg
Elementair koolstof (EC2.5),Gunvor Petroleum Europoort B.V.,2022,87,kg
Etheen,Gunvor Petroleum Europoort B.V.,2022,276,kg
"Fijnstof (PM2,5)",Gunvor Petroleum Europoort B.V.,2022,1267,kg
Fijnstof (PM10),Gunvor Petroleum Europoort B.V.,2022,1573,kg
TSP (Totaal stof),Gunvor Petroleum Europoort B.V.,2022,1607,kg
Methaan,Gunvor Petroleum Europoort B.V.,2022,15752,kg
Zwaveloxiden (als SO2),Gunvor Petroleum Europoort B.V.,2022,132371,kg
Stikstofoxiden (als NO2),Gunvor Petroleum Europoort B.V.,2022,208351,kg
NMVOS,Gunvor Petroleum Europoort B.V.,2022,223769,kg
VOS,Gunvor Petroleum Europoort B.V.,2022,239521,kg
Methaan,Gunvor Petroleum Europoort B.V.,2022,441067,kg CO₂-eq
Koolstofdioxide,Gunvor Petroleum Europoort B.V.,2022,233245981,kg CO₂-eq
Koolstofdioxide,Gunvor Petroleum Europoort B.V.,2022,233245981,kg
Stikstofoxiden (als NO2),HAK,2022,149,kg
Koolstofdioxide,HAK,2022,5852000,kg CO₂-eq
Koolstofdioxide,HAK,2022,5852000,kg
Distikstofoxide,Hartog Containers B.V.,2022,2,kg
Koolstofmonoxide,Hartog Containers B.V.,2022,416,kg
NMVOS,Hartog Containers B.V.,2022,416,kg
VOS,Hartog Containers B.V.,2022,416,kg
Distikstofoxide,Hartog Containers B.V.,2022,530,kg CO₂-eq
Koolstofdioxide,Hartog Containers B.V.,2022,201119,kg CO₂-eq
Koolstofdioxide,Hartog Containers B.V.,2022,201119,kg
"Fijnstof (PM2,5)",Havenbedrijf de Rietlanden BV,2022,903,kg
Fijnstof (PM10),Havenbedrijf de Rietlanden BV,2022,6019,kg
Grof stof,Havenbedrijf de Rietlanden BV,2022,15048,kg
TSP (Totaal stof),Havenbedrijf de Rietlanden BV,2022,21067,kg
Stikstofoxiden (als NO2),Heineken Nederland BV (Den Bosch),2022,598,kg
Koolstofdioxide,Heineken Nederland BV (Den Bosch),2022,27468285,kg CO₂-eq
Koolstofdioxide,Heineken Nederland BV (Den Bosch),2022,27468285,kg
"Fijnstof (PM2,5)",Heineken Nederland BV (Zoeterwoude),2022,2,kg
Grof stof,Heineken Nederland BV (Zoeterwoude),2022,21,kg
Halogeenverb.org.,Heineken Nederland BV (Zoeterwoude),2022,25,kg
HFK's of H-F-KWS,Heineken Nederland BV (Zoeterwoude),2022,25,kg
NMVOS,Heineken Nederland BV (Zoeterwoude),2022,25,kg
Overige HFK's,Heineken Nederland BV (Zoeterwoude),2022,25,kg
VOS,Heineken Nederland BV (Zoeterwoude),2022,25,kg
Zwaveloxiden (als SO2),Heineken Nederland BV (Zoeterwoude),2022,53,kg
Benzeen,Heineken Nederland BV (Zoeterwoude),2022,60,kg
Tolueen,Heineken Nederland BV (Zoeterwoude),2022,120,kg
Etheen,Heineken Nederland BV (Zoeterwoude),2022,601,kg
Grof stof,Heineken Nederland BV (Zoeterwoude),2022,626,kg
TSP (Totaal stof),Heineken Nederland BV (Zoeterwoude),2022,626,kg
NMVOS,Heineken Nederland BV (Zoeterwoude),2022,2405,kg
Ammoniak,Heineken Nederland BV (Zoeterwoude),2022,2500,kg
Methaan,Heineken Nederland BV (Zoeterwoude),2022,3608,kg
Fijnstof (PM10),Heineken Nederland BV (Zoeterwoude),2022,3918,kg
TSP (Totaal stof),Heineken Nederland BV (Zoeterwoude),2022,3939,kg
VOS,Heineken Nederland BV (Zoeterwoude),2022,6014,kg
Stikstofoxiden (als NO2),Heineken Nederland BV (Zoeterwoude),2022,18388,kg
Koolstofmonoxide,Heineken Nederland BV (Zoeterwoude),2022,36185,kg
Methaan,Heineken Nederland BV (Zoeterwoude),2022,101030,kg CO₂-eq
Koolstofdioxide,Heineken Nederland BV (Zoeterwoude),2022,31512982,kg CO₂-eq
Koolstofdioxide,Heineken Nederland BV (Zoeterwoude),2022,31512982,kg
Koolstofdioxide,Heineken Nederland BV (Zoeterwoude),2022,40630246,kg CO₂-eq
Koolstofdioxide,Heineken Nederland BV (Zoeterwoude),2022,40630246,kg
Stikstofoxiden (als NO2),Heiploeg International BV,2022,1062,kg
Koolstofdioxide,Heiploeg International BV,2022,3096540,kg CO₂-eq
Koolstofdioxide,Heiploeg International BV,2022,3096540,kg
Tolueen,Hexion B.V.,2022,1,kg
Etheen,Hexion B.V.,2022,3,kg
Chloriden,Hexion B.V.,2022,7,kg
NMVOS,Hexion B.V.,2022,11,kg
Methaan,Hexion B.V.,2022,17,kg
Formaldehyde,Hexion B.V.,2022,28,kg
VOS,Hexion B.V.,2022,28,kg
Fenol en Fenolaten,Hexion B.V.,2022,41,kg
Grof stof,Hexion B.V.,2022,49,kg
TSP (Totaal stof),Hexion B.V.,2022,49,kg
Grof stof,Hexion B.V.,2022,62,kg
TSP (Totaal stof),Hexion B.V.,2022,62,kg
Halogeenverb.org.,Hexion B.V.,2022,63,kg
Methaan,Hexion B.V.,2022,95,kg
Koolstofmonoxide,Hexion B.V.,2022,134,kg
Chloriden,Hexion B.V.,2022,140,kg
Methaan,Hexion B.V.,2022,470,kg CO₂-eq
Methaan,Hexion B.V.,2022,2660,kg CO₂-eq
Stikstofoxiden (als NO2),Hexion B.V.,2022,15016,kg
NMVOS,Hexion B.V.,2022,24300,kg
VOS,Hexion B.V.,2022,24395,kg
Zwaveloxiden (als SO2),Hexion B.V.,2022,70447,kg
Koolstofdioxide,Hexion B.V.,2022,38957530,kg CO₂-eq
Koolstofdioxide,Hexion B.V.,2022,38957530,kg
Formaldehyde,"Hexion UK Limited, Dutch Branch",2022,7,kg
NMVOS,"Hexion UK Limited, Dutch Branch",2022,137,kg
VOS,"Hexion UK Limited, Dutch Branch",2022,137,kg
Koolstofdioxide,"Hexion UK Limited, Dutch Branch",2022,6843132,kg CO₂-eq
Koolstofdioxide,"Hexion UK Limited, Dutch Branch",2022,6843132,kg
Halogeenverb.org.,Hexion VAD B.V.,2022,6,kg
Grof stof,Hexion VAD B.V.,2022,29,kg
TSP (Totaal stof),Hexion VAD B.V.,2022,29,kg
Zwaveloxiden (als SO2),Hexion VAD B.V.,2022,33,kg
Koolstofmonoxide,Hexion VAD B.V.,2022,353,kg
NMVOS,Hexion VAD B.V.,2022,1126,kg
VOS,Hexion VAD B.V.,2022,1126,kg
Stikstofoxiden (als NO2),Hexion VAD B.V.,2022,1355,kg
Koolstofdioxide,Hexion VAD B.V.,2022,4615505,kg CO₂-eq
Koolstofdioxide,Hexion VAD B.V.,2022,4615505,kg
Grof stof,Hilton Meats Zaandam B.V.,2022,1,kg
TSP (Totaal stof),Hilton Meats Zaandam B.V.,2022,1,kg
Zwaveloxiden (als SO2),Hilton Meats Zaandam B.V.,2022,8,kg
Koolstofmonoxide,Hilton Meats Zaandam B.V.,2022,158,kg
Stikstofoxiden (als NO2),Hilton Meats Zaandam B.V.,2022,1052,kg
Koolstofdioxide,Hilton Meats Zaandam B.V.,2022,931155,kg CO₂-eq
Koolstofdioxide,Hilton Meats Zaandam B.V.,2022,931155,kg
Grof stof,HKS Scrap Metals BV,2022,248,kg
TSP (Totaal stof),HKS Scrap Metals BV,2022,248,kg
Grof stof,HKS Scrap Metals Zwartsluis,2022,315,kg
TSP (Totaal stof),HKS Scrap Metals Zwartsluis,2022,315,kg
Benzeen,Hochwald Nederland BV,2022,16,kg
Tolueen,Hochwald Nederland BV,2022,31,kg
Etheen,Hochwald Nederland BV,2022,157,kg
NMVOS,Hochwald Nederland BV,2022,627,kg
Methaan,Hochwald Nederland BV,2022,941,kg
VOS,Hochwald Nederland BV,2022,1568,kg
Stikstofoxiden (als NO2),Hochwald Nederland BV,2022,3555,kg
Methaan,Hochwald Nederland BV,2022,26334,kg CO₂-eq
Koolstofdioxide,Hochwald Nederland BV,2022,10004168,kg CO₂-eq
Koolstofdioxide,Hochwald Nederland BV,2022,10004168,kg
Koolstofdioxide,Hogeslag-Olst B.V.,2022,173000,kg CO₂-eq
Koolstofdioxide,Hogeslag-Olst B.V.,2022,173000,kg
Stikstofoxiden (als NO2),Holland Malt (Bavaria),2022,1003,kg
Koolstofdioxide,Holland Malt (Bavaria),2022,31099700,kg CO₂-eq
Koolstofdioxide,Holland Malt (Bavaria),2022,31099700,kg
Koolstofmonoxide,Holonite BV (Tholen),2022,102,kg
Dichloormethaan,Holonite BV (Tholen),2022,123,kg
Halogeenverb.org.,Holonite BV (Tholen),2022,123,kg
Styreen,Holonite BV (Tholen),2022,512,kg
NMVOS,Holonite BV (Tholen),2022,635,kg
VOS,Holonite BV (Tholen),2022,635,kg
Koolstofdioxide,Holonite BV (Tholen),2022,115000,kg CO₂-eq
Koolstofdioxide,Holonite BV (Tholen),2022,115000,kg
Stikstofoxiden (als NO2),Huhtamaki Nederland BV,2022,3894,kg
Koolstofmonoxide,Huhtamaki Nederland BV,2022,49597,kg
Koolstofdioxide,Huhtamaki Nederland BV,2022,13909815,kg CO₂-eq
Koolstofdioxide,Huhtamaki Nederland BV,2022,13909815,kg
Stikstofoxiden (als NO2),Hunter Douglas Europe BV,2022,63,kg
Koolstofdioxide,Hunter Douglas Europe BV,2022,1475459,kg CO₂-eq
Koolstofdioxide,Hunter Douglas Europe BV,2022,1475459,kg
Ethyleenoxide,Huntsman Holland BV,2022,3,kg
Propyleenoxide,Huntsman Holland BV,2022,12,kg
Formaldehyde,Huntsman Holland BV,2022,39,kg
Tetrachloormethaan,Huntsman Holland BV,2022,217,kg
Stikstofoxiden (als NO2),Huntsman Holland BV,2022,453,kg
Halogeenverb.org.,Huntsman Holland BV,2022,2736,kg
NMVOS,Huntsman Holland BV,2022,5304,kg
VOS,Huntsman Holland BV,2022,5304,kg
Koolstofmonoxide,Huntsman Holland BV,2022,96019,kg
Koolstofdioxide,Huntsman Holland BV,2022,421002,kg CO₂-eq
Koolstofdioxide,Huntsman Holland BV,2022,421002,kg
Kwikverb. (als Hg),HVC (Alkmaar),2022,1,kg
Seleenverb. (als Se),HVC (Alkmaar),2022,1,kg
Antimoonverb. (als Sb),HVC (Alkmaar),2022,3,kg
Arseenverb. (als As),HVC (Alkmaar),2022,3,kg
Cadmiumverb. (als Cd),HVC (Alkmaar),2022,5,kg
Koperverb. (als Cu),HVC (Alkmaar),2022,8,kg
Loodverb. (als Pb),HVC (Alkmaar),2022,8,kg
Chroomverb. (als Cr),HVC (Alkmaar),2022,9,kg
Benzeen,HVC (Alkmaar),2022,12,kg
Nikkelverb. (als Ni),HVC (Alkmaar),2022,12,kg
Tolueen,HVC (Alkmaar),2022,23,kg
Zinkverb. (als Zn),HVC (Alkmaar),2022,53,kg
Etheen,HVC (Alkmaar),2022,116,kg
Fluoriden anorganisch (als HF),HVC (Alkmaar),2022,255,kg
Grof stof,HVC (Alkmaar),2022,539,kg
Methaan,HVC (Alkmaar),2022,698,kg
NMVOS,HVC (Alkmaar),2022,931,kg
"Fijnstof (PM2,5)",HVC (Alkmaar),2022,987,kg
Fijnstof (PM10),HVC (Alkmaar),2022,1257,kg
VOS,HVC (Alkmaar),2022,1629,kg
TSP (Totaal stof),HVC (Alkmaar),2022,1795,kg
Chloriden,HVC (Alkmaar),2022,4197,kg
Ammoniak,HVC (Alkmaar),2022,6906,kg
Methaan,HVC (Alkmaar),2022,19531,kg CO₂-eq
Distikstofoxide,HVC (Alkmaar),2022,25379,kg
Zwaveloxiden (als SO2),HVC (Alkmaar),2022,25494,kg
Koolstofmonoxide,HVC (Alkmaar),2022,57161,kg
Stikstofoxiden (als NO2),HVC (Alkmaar),2022,287451,kg
Distikstofoxide,HVC (Alkmaar),2022,6725433,kg CO₂-eq
Koolstofdioxide,HVC (Alkmaar),2022,1018213950,kg CO₂-eq
Koolstofdioxide,HVC (Alkmaar),2022,1018213950,kg
Antimoonverb. (als Sb),HVC Afvalcentrale Dordrecht,2022,1,kg
Arseenverb. (als As),HVC Afvalcentrale Dordrecht,2022,1,kg
Cadmiumverb. (als Cd),HVC Afvalcentrale Dordrecht,2022,1,kg
Kwikverb. (als Hg),HVC Afvalcentrale Dordrecht,2022,2,kg
Chroomverb. (als Cr),HVC Afvalcentrale Dordrecht,2022,3,kg
Halogeenverb.org.,HVC Afvalcentrale Dordrecht,2022,3,kg
HCFK's of H-Cl-F-KWS,HVC Afvalcentrale Dordrecht,2022,3,kg
Koperverb. (als Cu),HVC Afvalcentrale Dordrecht,2022,3,kg
Loodverb. (als Pb),HVC Afvalcentrale Dordrecht,2022,3,kg
NMVOS,HVC Afvalcentrale Dordrecht,2022,3,kg
VOS,HVC Afvalcentrale Dordrecht,2022,3,kg
Nikkelverb. (als Ni),HVC Afvalcentrale Dordrecht,2022,4,kg
Zinkverb. (als Zn),HVC Afvalcentrale Dordrecht,2022,7,kg
Elementair koolstof (EC2.5),HVC Afvalcentrale Dordrecht,2022,38,kg
Fluoriden anorganisch (als HF),HVC Afvalcentrale Dordrecht,2022,129,kg
NMVOS,HVC Afvalcentrale Dordrecht,2022,462,kg
Methaan,HVC Afvalcentrale Dordrecht,2022,667,kg
"Fijnstof (PM2,5)",HVC Afvalcentrale Dordrecht,2022,1065,kg
Fijnstof (PM10),HVC Afvalcentrale Dordrecht,2022,1122,kg
TSP (Totaal stof),HVC Afvalcentrale Dordrecht,2022,1122,kg
VOS,HVC Afvalcentrale Dordrecht,2022,1129,kg
Chloriden,HVC Afvalcentrale Dordrecht,2022,2534,kg
Zwaveloxiden (als SO2),HVC Afvalcentrale Dordrecht,2022,10207,kg
Distikstofoxide,HVC Afvalcentrale Dordrecht,2022,13494,kg
Methaan,HVC Afvalcentrale Dordrecht,2022,18668,kg CO₂-eq
Koolstofmonoxide,HVC Afvalcentrale Dordrecht,2022,19823,kg
Stikstofoxiden (als NO2),HVC Afvalcentrale Dordrecht,2022,111473,kg
Distikstofoxide,HVC Afvalcentrale Dordrecht,2022,3575920,kg CO₂-eq
Koolstofdioxide,HVC Afvalcentrale Dordrecht,2022,326670000,kg CO₂-eq
Koolstofdioxide,HVC Afvalcentrale Dordrecht,2022,326670000,kg
Stikstofoxiden (als NO2),HWC Amsterdam Driehoek,2022,601,kg
Koolstofmonoxide,HWC Amsterdam Driehoek,2022,719,kg
Koolstofdioxide,HWC Amsterdam Driehoek,2022,2067691,kg CO₂-eq
Koolstofdioxide,HWC Amsterdam Driehoek,2022,2067691,kg
Distikstofoxide,Hyproca Dairy BV,2022,6,kg
Stikstofoxiden (als NO2),Hyproca Dairy BV,2022,1568,kg
Distikstofoxide,Hyproca Dairy BV,2022,1635,kg CO₂-eq
Koolstofmonoxide,Hyproca Dairy BV,2022,3090,kg
Koolstofdioxide,Hyproca Dairy BV,2022,3490000,kg CO₂-eq
Koolstofdioxide,Hyproca Dairy BV,2022,3490000,kg
Benzeen,ICL Fertilizers Europe CV,2022,20,kg
Distikstofoxide,ICL Fertilizers Europe CV,2022,22,kg
Tolueen,ICL Fertilizers Europe CV,2022,41,kg
Etheen,ICL Fertilizers Europe CV,2022,203,kg
Fluoriden anorganisch (als HF),ICL Fertilizers Europe CV,2022,306,kg
Ammoniak,ICL Fertilizers Europe CV,2022,320,kg
NMVOS,ICL Fertilizers Europe CV,2022,811,kg
Methaan,ICL Fertilizers Europe CV,2022,1217,kg
Chloriden,ICL Fertilizers Europe CV,2022,1868,kg
VOS,ICL Fertilizers Europe CV,2022,2028,kg
Stikstofoxiden (als NO2),ICL Fertilizers Europe CV,2022,2400,kg
Distikstofoxide,ICL Fertilizers Europe CV,2022,5716,kg CO₂-eq
Grof stof,ICL Fertilizers Europe CV,2022,8611,kg
TSP (Totaal stof),ICL Fertilizers Europe CV,2022,8611,kg
Koolstofmonoxide,ICL Fertilizers Europe CV,2022,10810,kg
Methaan,ICL Fertilizers Europe CV,2022,34070,kg CO₂-eq
Koolstofdioxide,ICL Fertilizers Europe CV,2022,12200000,kg CO₂-eq
Koolstofdioxide,ICL Fertilizers Europe CV,2022,12200000,kg
Ammoniak,ICL-IP Terneuzen BV,2022,1,kg
Benzeen,ICL-IP Terneuzen BV,2022,1,kg
Benzeen,ICL-IP Terneuzen BV,2022,1,kg
Tolueen,ICL-IP Terneuzen BV,2022,1,kg
Grof stof,ICL-IP Terneuzen BV,2022,7,kg
TSP (Totaal stof),ICL-IP Terneuzen BV,2022,7,kg
Grof stof,ICL-IP Terneuzen BV,2022,9,kg
TSP (Totaal stof),ICL-IP Terneuzen BV,2022,9,kg
Etheen,ICL-IP Terneuzen BV,2022,11,kg
Etheen,ICL-IP Terneuzen BV,2022,11,kg
Tolueen,ICL-IP Terneuzen BV,2022,31,kg
NMVOS,ICL-IP Terneuzen BV,2022,45,kg
Methaan,ICL-IP Terneuzen BV,2022,68,kg
Methaan,ICL-IP Terneuzen BV,2022,68,kg
VOS,ICL-IP Terneuzen BV,2022,113,kg
Chloriden,ICL-IP Terneuzen BV,2022,129,kg
Dichloormethaan,ICL-IP Terneuzen BV,2022,246,kg
Zwaveloxiden (als SO2),ICL-IP Terneuzen BV,2022,668,kg
Koolstofmonoxide,ICL-IP Terneuzen BV,2022,1171,kg
Methaan,ICL-IP Terneuzen BV,2022,1896,kg CO₂-eq
Methaan,ICL-IP Terneuzen BV,2022,1896,kg CO₂-eq
Halogeenverb.org.,ICL-IP Terneuzen BV,2022,2539,kg
NMVOS,ICL-IP Terneuzen BV,2022,3520,kg
VOS,ICL-IP Terneuzen BV,2022,3587,kg
Stikstofoxiden (als NO2),ICL-IP Terneuzen BV,2022,5071,kg
Koolstofdioxide,ICL-IP Terneuzen BV,2022,9302890,kg CO₂-eq
Koolstofdioxide,ICL-IP Terneuzen BV,2022,9302890,kg
Zwaveloxiden (als SO2),IHC Offshore & Marine B.V.,2022,5,kg
Stikstofoxiden (als NO2),IHC Offshore & Marine B.V.,2022,42,kg
Grof stof,IHC Offshore & Marine B.V.,2022,47,kg
TSP (Totaal stof),IHC Offshore & Marine B.V.,2022,47,kg
NMVOS,IHC Offshore & Marine B.V.,2022,12727,kg
VOS,IHC Offshore & Marine B.V.,2022,12727,kg
Koolstofdioxide,IHC Offshore & Marine B.V.,2022,229463,kg CO₂-eq
Koolstofdioxide,IHC Offshore & Marine B.V.,2022,229463,kg
Koolstofdioxide,IHC Sliedrecht B.V.,2022,366774,kg CO₂-eq
Koolstofdioxide,IHC Sliedrecht B.V.,2022,366774,kg
Koolstofdioxide,IHC Smit BV,2022,1466624,kg CO₂-eq
Koolstofdioxide,IHC Smit BV,2022,1466624,kg
"Fijnstof (PM2,5)",IJ-palen,2022,128,kg
Fijnstof (PM10),IJ-palen,2022,853,kg
Grof stof,IJ-palen,2022,2133,kg
TSP (Totaal stof),IJ-palen,2022,2986,kg
Tolueen,Indorama Ventures Europe BV,2022,302,kg
Benzeen,Indorama Ventures Europe BV,2022,411,kg
Halogeenverb.org.,Indorama Ventures Europe BV,2022,1376,kg
Methylbromide,Indorama Ventures Europe BV,2022,1376,kg
Etheen,Indorama Ventures Europe BV,2022,1508,kg
Methaan,Indorama Ventures Europe BV,2022,9048,kg
NMVOS,Indorama Ventures Europe BV,2022,62519,kg
Stikstofoxiden (als NO2),Indorama Ventures Europe BV,2022,64075,kg
VOS,Indorama Ventures Europe BV,2022,71567,kg
Methaan,Indorama Ventures Europe BV,2022,253344,kg CO₂-eq
Koolstofdioxide,Indorama Ventures Europe BV,2022,98246306,kg CO₂-eq
Koolstofdioxide,Indorama Ventures Europe BV,2022,98246306,kg
Koolstofdioxide,Industriewater Eerbeek BV,2022,4799733,kg CO₂-eq
Koolstofdioxide,Industriewater Eerbeek BV,2022,4799733,kg
Koolstofdioxide,INEOS Maastricht bv,2022,3433807,kg CO₂-eq
Koolstofdioxide,INEOS Maastricht bv,2022,3433807,kg
Tolueen,Inter-Che-M BV,2022,1,kg
Grof stof,Inter-Che-M BV,2022,3,kg
TSP (Totaal stof),Inter-Che-M BV,2022,3,kg
Etheen,Inter-Che-M BV,2022,4,kg
NMVOS,Inter-Che-M BV,2022,15,kg
Methaan,Inter-Che-M BV,2022,23,kg
VOS,Inter-Che-M BV,2022,38,kg
Distikstofoxide,Inter-Che-M BV,2022,107,kg CO₂-eq
Koolstofmonoxide,Inter-Che-M BV,2022,202,kg
Methaan,Inter-Che-M BV,2022,637,kg CO₂-eq
NMVOS,Inter-Che-M BV,2022,9767,kg
VOS,Inter-Che-M BV,2022,9767,kg
Koolstofdioxide,Inter-Che-M BV,2022,228070,kg CO₂-eq
Koolstofdioxide,Inter-Che-M BV,2022,228070,kg
Waterstofsulfide,Intern. Flav. & Fragranc. I.F.F. BV,2022,13,kg
